num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway,entry,exit,temp,humidity,rain_1h,rain_3h
15.0,15.0,0.0,0.0,7.0,2779.0,473.0,31.03,62,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2392.0,2673.0,27.52,81,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3028.0,1556.0,28.8,77,0.0,0.0
14.0,14.0,0.0,0.0,7.5,3266.0,1341.0,30.18,72,0.0,0.0
12.0,14.0,0.0,0.0,8.5,2059.0,1488.0,27.32,79,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2219.0,1000.0,29.8,65,0.0,0.0
11.0,13.0,0.0,0.0,8.0,3762.0,0.0,31.84,53,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2777.0,3356.0,26.7,84,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6369.0,746.0,32.12,53,0.0,0.0
14.0,14.0,0.0,0.0,7.5,6264.0,512.0,32.18,53,0.0,0.0
12.0,13.0,0.0,0.0,8.5,3369.0,1095.0,28.84,71,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6860.0,491.0,31.23,63,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3488.0,1205.0,29.14,66,0.0,0.0
7.0,7.0,0.0,0.0,8.0,3477.0,0.0,31.62,61,0.0,0.0
14.0,14.0,0.0,0.0,7.0,6747.0,463.0,31.92,61,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3176.0,1153.0,26.48,93,0.0,0.0
7.0,9.0,0.0,0.0,8.0,3565.0,1.0,30.52,67,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2422.0,3099.0,25.01,93,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3904.0,1038.0,30.15,61,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3907.0,1123.0,28.01,75,0.0,0.0
13.0,13.0,0.0,0.0,8.0,1403.0,2.0,31.02,55,0.0,0.0
12.0,12.0,0.0,0.0,8.5,1343.0,508.0,31.16,54,0.0,0.0
11.0,11.0,0.0,0.0,9.0,898.0,192.0,31.53,54,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2899.0,1792.0,28.11,72,0.0,0.0
12.0,12.0,0.0,0.0,8.5,6403.0,860.0,31.77,64,0.0,0.0
12.0,12.0,0.0,0.0,8.5,6467.0,421.0,32.0,64,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2227.0,1286.0,28.37,69,0.0,0.0
12.0,12.0,0.0,0.0,8.5,2163.0,1386.0,26.69,79,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2272.0,922.0,28.69,69,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2042.0,1060.0,29.39,55,0.0,0.0
12.0,12.0,0.0,0.0,8.5,3046.0,1121.0,28.75,78,0.0,0.0
10.0,11.0,0.0,0.0,7.0,4081.0,0.0,31.87,56,0.0,0.0
12.0,12.0,0.0,0.0,8.5,3656.0,870.0,29.07,78,0.0,0.0
12.0,12.0,0.0,0.0,8.5,3976.0,979.0,30.53,63,0.0,8.1
13.0,13.0,0.0,0.0,8.0,6294.0,436.0,31.83,60,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3549.0,1057.0,28.13,85,0.0,0.0
7.0,7.0,0.0,0.0,8.0,3571.0,0.0,31.54,60,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2583.0,4002.0,26.99,90,0.0,0.0
7.0,7.0,0.0,0.0,8.0,3620.0,3.0,30.43,79,1.5,0.0
15.0,15.0,0.0,0.0,7.0,6276.0,919.0,30.07,79,0.2,0.0
